,param_combo,embed_dim,num_heads,ff_dim,num_layers,batch_size,num_iterations,test_partition,min_valid_loss
254,815,32.0,2.0,32.0,1.0,32.0,1.0,4.0,0.070414362475276
292,992,32.0,4.0,32.0,1.0,32.0,1.0,1.0,0.07069214805960655
497,274,16.0,2.0,32.0,1.0,32.0,1.0,3.0,0.07175219431519508
565,1021,32.0,4.0,32.0,2.0,32.0,1.0,0.0,0.0711459219455719
108,723,32.0,2.0,16.0,1.0,32.0,1.0,2.0,0.06879750452935696
