,param_combo,embed_dim,num_heads,ff_dim,num_layers,batch_size,test_partition,min_valid_loss
168,302,30.0,8.0,16.0,1.0,32.0,1.0,0.8081570267677307
23,186,30.0,1.0,16.0,1.0,64.0,0.0,0.8178270906209946
56,245,30.0,4.0,16.0,1.0,32.0,4.0,0.8026894629001617
12,189,30.0,1.0,16.0,1.0,64.0,3.0,0.8201991617679596
90,183,30.0,1.0,16.0,1.0,32.0,2.0,0.8160249888896942
