1,2,3,4,5,6,7,8,9,10,11,12,13
SignalP,0.895,0.895,0.895,0.895,0.964,0.964,0.964,0.968,0.925,0.925,0.925,0.925
LipoP,0.684,"0,,684",0.737,0.737,0.86,0.86,0.86,0.862,0.831,0.831,0.831,0.831
PRED-LIPO,0.632,0.632,0.632,0.632,0.717,0.717,0.717,0.719,0.816,0.816,0.816,0.816
SPEPlip,n.d.,n.d.,n.d.,n.d.,0.912,0.912,0.914,0.914,0.876,0.876,0.876,0.876
TransPep,0.684,0.789,0.842,0.842,0.672,0.749,0.912,0.948,0.682,0.736,0.866,0.905
