1,2,3,4,5,6,7,8,9,10,11,12,13
SignalP,0.944,0.944,0.944,0.944,0.97,0.97,0.97,0.975,0.959,0.959,0.959,0.959
LipoP,0.765,0.765,0.824,0.824,0.969,0.969,0.969,0.972,0.944,0.944,0.944,0.944
PRED-LIPO,0.923,0.923,0.923,0.923,0.969,0.969,0.969,0.972,0.921,0.921,0.921,0.921
SPEPlip,n.d.,n.d.,n.d.,n.d.,0.969,0.969,0.971,0.971,0.936,0.936,0.936,0.936
TransPep,0.765,0.882,0.941,0.941,0.669,0.745,0.908,0.944,0.682,0.736,0.866,0.905
