1,2,3,4,5,6,7,8,9,10,11,12,13
SignalP 5.0,0.591,0.636,0.727,0.773,0.684,0.724,0.745,0.776,0.595,0.622,0.676,0.689
PRED-TAT,0.5,0.545,0.636,0.636,0.735,0.735,0.776,0.806,0.622,0.622,0.635,0.689
TatP,0.318,0.409,0.5,0.5,0.653,0.673,0.694,0.04,0.446,0.43,0.514,0.581
TATFIND,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
TransPep,0.227,0.364,0.5,0.636,0.204,0.388,0.5,0.582,0.122,0.257,0.351,0.405
