,param_combo,embed_dim,num_heads,ff_dim,num_layers,batch_size,num_iterations,test_partition,min_valid_loss
496,837,32.0,2.0,32.0,1.0,64.0,4.0,1.0,0.01742159901186824
316,691,32.0,1.0,32.0,4.0,32.0,1.0,0.0,0.018375976476818323
384,845,32.0,2.0,32.0,2.0,32.0,1.0,4.0,0.017787129618227482
280,564,32.0,1.0,16.0,1.0,64.0,2.0,3.0,0.019128700718283653
176,638,32.0,1.0,32.0,1.0,32.0,2.0,2.0,0.017635556869208813
