,param_combo,embed_dim,num_heads,ff_dim,num_layers,batch_size,num_iterations,test_partition,min_valid_loss
645,275,16.0,2.0,32.0,1.0,32.0,1.0,4.0,0.0589958056807518
61,737,32.0,2.0,16.0,1.0,64.0,1.0,1.0,0.06079744175076485
505,274,16.0,2.0,32.0,1.0,32.0,1.0,3.0,0.06008546054363251
239,886,32.0,2.0,32.0,4.0,64.0,1.0,0.0,0.05942635517567396
446,273,16.0,2.0,32.0,1.0,32.0,1.0,2.0,0.05995351728051901
